Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,sku_id
Fruits & Vegetables,Onion,2500,16,3,2100,1000,FALSE,1,1
Fruits & Vegetables,Tomato Hybrid,4200,16,3,3500,1000,FALSE,1,2
Fruits & Vegetables,Tender Coconut,5100,15,3,4300,58,FALSE,1,3
Fruits & Vegetables,Coriander Leaves,2000,15,3,1700,100,FALSE,100,4
Fruits & Vegetables,Ladies Finger ,1400,14,3,1200,250,FALSE,250,5
Fruits & Vegetables,Potato,3500,17,3,2900,1000,FALSE,1,6
Fruits & Vegetables,Lemon,7500,16,3,6300,200,FALSE,200,7
Fruits & Vegetables,Watermelon ,5800,15,3,4900,58,FALSE,1,8
Fruits & Vegetables,Capsicum Green ,2300,17,3,1900,250,FALSE,250,9
Fruits & Vegetables,Chilli Green ,1900,15,3,1600,100,FALSE,100,10
Fruits & Vegetables,Banana Robusta,2900,17,3,2400,348,FALSE,6,11
Fruits & Vegetables,Garlic Indian ,1100,18,3,900,100,FALSE,100,12
Fruits & Vegetables,Cauliflower,2600,15,3,2200,58,FALSE,1,13
Fruits & Vegetables,Ginger,1400,14,3,1200,200,FALSE,200,14
Fruits & Vegetables,Spinach,1900,15,3,1600,250,FALSE,250,15
Fruits & Vegetables,Muskmelon,4200,16,3,3500,58,FALSE,1,16
Fruits & Vegetables,Cabbage ,1500,13,3,1300,58,FALSE,1,17
Fruits & Vegetables,Methi,3000,16,3,2500,250,FALSE,250,18
Fruits & Vegetables,Broccoli,3600,16,3,3000,500,FALSE,500,19
Fruits & Vegetables,Sapota,3000,16,3,2500,348,FALSE,6,20
Fruits & Vegetables,Onion,6800,16,3,5700,3000,FALSE,3,21
Fruits & Vegetables,Potato,10000,16,3,8400,3000,FALSE,3,22
Fruits & Vegetables,Orange Nagpur,8200,15,3,6900,232,FALSE,4,23
Fruits & Vegetables,Mint Leaves ,1100,18,3,900,100,FALSE,100,24
